sl_pips,rr_ratio,up_vol,down_vol,total_pnl_pips,win_rate_pct,profit_factor,total_trades
20,4.0,8000,8000,633.8,85.714286,16.845,14
20,4.0,10000,8000,633.8,85.714286,16.845,14
20,4.0,2500,3500,463.3,44.117647,2.219211,34
20,4.0,3000,2500,463.3,44.117647,2.219211,34
20,4.0,2500,2000,463.3,44.117647,2.219211,34
20,4.0,2500,3000,463.3,44.117647,2.219211,34
20,4.0,3000,2000,463.3,44.117647,2.219211,34
20,4.0,2500,2500,463.3,44.117647,2.219211,34
20,4.0,3000,3000,463.3,44.117647,2.219211,34
20,4.0,3000,3500,463.3,44.117647,2.219211,34
25,3.0,8000,8000,340.0,75.0,4.0,8
25,3.0,10000,8000,340.0,75.0,4.0,8
15,3.0,8000,8000,270.0,75.0,4.0,8
15,3.0,10000,8000,270.0,75.0,4.0,8
20,1.5,8000,8000,100.0,83.333333,6.0,6
20,1.5,10000,8000,100.0,83.333333,6.0,6
